time,value
1581597119420,135
1581597119474,134
1581597119500,135
1581597119552,134
1581597119655,135
1581597119706,134
1581597119731,135
1581597119836,134
1581597119862,135
1581597120458,134
1581597120562,135
1581597120614,134
1581597120640,135
1581597120666,134
1581597120691,135
1581597120849,134
1581597120900,133
1581597120925,135
1581597120978,134
1581597121003,135
1581597121054,134
1581597121104,135
1581597121129,134
1581597121180,135
1581597121259,134
1581597121284,135
1581597121309,134
1581597121360,135
1581597121412,134
1581597121464,135
1581597121491,134
1581597121517,133
1581597121568,135
1581597121619,134
1581597121644,135
1581597121695,134
1581597121772,135
1581597121929,134
1581597121982,135
1581597122062,134
1581597122216,135
1581597122348,133
1581597122372,135
1581597122424,133
1581597122450,134
1581597123364,133
1581597123417,135
1581597123469,134
1581597123495,135
1581597123602,134
1581597123627,133
1581597123652,134
1581597123677,135
1581597123829,134
1581597123855,135
1581597123933,134
1581597123958,135
1581597123984,134
1581597124064,135
1581597124090,134
1581597124141,135
1581597124249,133
1581597124275,135
1581597124896,133
1581597124922,134
1581597125135,133
1581597125185,135
1581597125236,134
1581597125261,135
1581597125414,134
1581597125466,135
1581597125493,134
